Article #,Abstract ChatGPT,Full Text ChatGPT ,Abstract Reading Ease,Full Text Reading Ease,Abstract Grade Score,Full Text Grade Score,Abstract Faithfulness,Full Text Faithfulness,Grader 1,Grader 2,Grader 3,Grader 4,Grader 5,Mean Human Grade Score,Standard Deviation Human Grade Score,Rater 1,Rater 2,Rater 3 ,Rater 4,Rater 5,Mean Human Accuracy Rating,Standard Deviation of Human Accuracy Rating
1,6,7,66.48635563,69.18882353,8.395410798,7.335294118,0.941176471,0.870967742,6,4,10,,,6.666666667,3.055050463,5,3,7,,,5,2
2,6,8,66.91517857,75.6467376,9.577738095,6.698499514,0.833333333,0.941176471,4,6,,,,5,1.414213562,6,9,,,,7.5,2.121320344
3,6,7,78.8505,82.08097778,6.253857143,5.261066667,0.916666667,0.945945946,10,3,,,,6.5,4.949747468,9,7,,,,8,1.414213562
4,5,8,73.69249215,70.55005132,6.886542992,6.569529163,0.714285714,1,6,4,,,,5,1.414213562,10,10,,,,10,0
5,5,6,67.65647059,79.10053684,8.045882353,5.495178947,0.642857143,0.733333333,3,5,7,,,5,2,3,9,9,,,7,3.464101615
6,5,7,68.31476244,82.58103488,7.652401422,4.945651163,0.941176471,0.782608696,6,5,10,4,8,6.6,2.408318916,7,3,4,7,8,5.8,2.167948339
7,5,8,71.2221124,71.51664344,7.013471503,6.679372822,1,0.928571429,7,6,5,,,6,1,4,10,7,,,7,3
8,6,7,77.00144207,78.21446785,7.192722176,6.053813747,1,0.75,7,2,,,,4.5,3.535533906,8,8,,,,8,0
9,7,8,69.93769006,73.60934664,7.740773229,6.404916314,0.933333333,1,5,7,6,3,,5.25,1.707825128,8,10,7,6,,7.75,1.707825128
10,6,8,76.00866608,76.78057416,7.679437153,6.145645933,1,0.64,10,1,,,,5.5,6.363961031,8,3,,,,5.5,3.535533906
11,7,8,78.04875,72.65439633,6.285833333,6.130292463,0.6875,1,5,4,,,,4.5,0.707106781,7,4,,,,5.5,2.121320344
12,6,8,76.47967962,80.44553296,7.278954064,5.3871669,0.933333333,0.897435897,7,6,7,,,6.666666667,0.577350269,8,8,9,,,8.333333333,0.577350269
13,6,8,68.57975478,84.23290824,7.594146497,4.310119454,0.916666667,1,7,4,,,,5.5,2.121320344,4,9,,,,6.5,3.535533906
14,5,7,72.6234023,65.28234505,6.972172414,7.540215403,0.9,1,5,7,10,10,,8,2.449489743,9,9,8,6,,8,1.414213562
15,6,7,61.08557421,70.01539153,9.277065693,6.173992298,0.764705882,0.705882353,10,5,,,,7.5,3.535533906,9,9,,,,9,0
16,6,8,69.05022629,77.09575241,7.680687261,5.291025451,0.923076923,1,8,5,10,8,,7.75,2.061552813,8,9,10,10,,9.25,0.957427108
17,6,6,66.68041818,78.49799828,9.604836364,6.326683849,0.705882353,0.928571429,4,7,,,,5.5,2.121320344,8,9,,,,8.5,0.707106781
18,6,7,74.6626087,75.65174458,6.926708075,6.550753746,0.904761905,0.923076923,4,3,3,10,,5,3.366501646,6,4,8,5,,5.75,1.707825128
19,6,8,69.95595165,71.14846069,7.841083969,6.896345515,0.65,0.90625,3,10,,,,6.5,4.949747468,6,7,,,,6.5,0.707106781
20,6,7,71.18789474,75.35705128,8.050175439,7.054615385,0.25,1,7,9,5,5,,6.5,1.914854216,7,8,2,3,,5,2.943920289
21,6,8,81.09807692,66.66847826,4.715970696,8.857991718,0.823529412,0.642857143,4,6,,,,5,1.414213562,8,10,,,,9,1.414213562
22,5,8,75.06135335,64.40107507,6.363315508,9.03502008,0.882352941,1,6,5,6,,,5.666666667,0.577350269,8,6,9,,,7.666666667,1.527525232
23,6,8,83.61734018,75.68651133,4.618926941,7.308049793,0.947368421,1,4,3,,,,3.5,0.707106781,9,8,,,,8.5,0.707106781
24,6,8,75.65519608,71.64504914,5.863442266,8.28000819,0.888888889,0.777777778,3,6,,,,4.5,2.121320344,8,7,,,,7.5,0.707106781
25,6,9,71.80351443,71.31575,6.486816638,8.082027778,0.826086957,1,4,5,8,,,5.666666667,2.081665999,10,7,9,,,8.666666667,1.527525232
26,6,8,76.02078947,66.05913208,6.701779449,9.283092885,0.5625,0.68,7,6,,,,6.5,0.707106781,8,9,,,,8.5,0.707106781
27,5,8,85.73664439,76.97189655,4.372259358,6.640098522,0.791666667,0.925925926,5,10,6,,,7,2.645751311,9,7,8,,,8,1
28,6,7,80.55333949,66.69749737,5.216052529,9.536438356,0.833333333,0.958333333,4,5,4,4,,4.25,0.5,7,8,3,4,,5.5,2.380476143
29,6,8,76.03532207,59.7057724,6.158067557,10.16925889,0.814814815,0.904761905,5,6,7,7,,6.25,0.957427108,7,9,4,9,,7.25,2.362907813
30,6,8,74.75227273,65.98,6.736753247,9.025,0.913043478,0.583333333,3,4,,,,3.5,0.707106781,8,7,,,,7.5,0.707106781
31,6,6,74.92502834,60.55140316,6.190170068,10.00802372,0.9,1,5,4,8,,,5.666666667,2.081665999,5,8,7,,,6.666666667,1.527525232
32,5,7,83.85357143,76.64625,5.041428571,7.040416667,0.944444444,0.709677419,3,6,5,,,4.666666667,1.527525232,7,10,7,,,8,1.732050808
33,6,8,79.75538462,73.61336923,5.364615385,7.7692,0.684210526,0.533333333,7,2,8,,,5.666666667,3.214550254,8,6,8,,,7.333333333,1.154700538
34,6,7,86.08247376,72.42661197,4.0716675,7.753185328,0.851851852,0.875,6,3,4,,,4.333333333,1.527525232,7,9,9,,,8.333333333,1.154700538
35,6,8,75.98977778,71.03389726,6.110666667,8.79209589,1,1,10,5,4,,,6.333333333,3.214550254,8,8,6,,,7.333333333,1.154700538
36,6,8,81.82415254,67.26008722,6.034285714,9.998255619,1,0.857142857,8,4,8,5,,6.25,2.061552813,7,10,6,7,,7.5,1.732050808
37,6,8,70.19755238,69.63464606,6.50577391,7.857647059,0.916666667,0.892857143,2,10,,,,6,5.656854249,3,7,,,,5,2.828427125
38,5,9,66.03648405,61.98898601,7.565779691,8.817272727,0.892857143,0.888888889,3,3,,,,3,0,8,7,,,,7.5,0.707106781
39,5,8,64.19121622,77.043919,9.558416988,6.030463706,0.964285714,1,5,6,,,,5.5,0.707106781,7,8,,,,7.5,0.707106781
40,6,7,77.02829575,76.47074519,7.033709192,7.4853125,0.130434783,0.869565217,6,7,,,,6.5,0.707106781,6,6,,,,6,0
41,,,66.57841065,73.47311097,7.989226804,7.006852332,0.866666667,1,,,,,,,,,,,,,,
42,,,70.21,71.26826376,8.435,6.942960152,0.764705882,0.619047619,,,,,,,,,,,,,,
43,,,68.10514259,68.23782609,8.426922868,9.455362319,0.944444444,0.833333333,,,,,,,,,,,,,,
44,,,71.95292193,73.16451244,8.344776119,7.492925373,0.913043478,0.913043478,,,,,,,,,,,,,,
45,,,72.60802792,75.67874626,8.025994924,7.320280269,0.928571429,0.933333333,,,,,,,,,,,,,,
46,,,79.19247583,73.06607407,6.057662012,7.092609053,1,0.961538462,,,,,,,,,,,,,,
47,,,70.2025,68.15963636,7.460079365,8.124757576,0.875,0.842105263,,,,,,,,,,,,,,
48,,,75.94296907,69.52123188,7.486309278,7.37173913,0.684210526,0.818181818,,,,,,,,,,,,,,
49,,,69.9175,69.9316,7.677279635,7.941485714,0.782608696,0.85,,,,,,,,,,,,,,
50,,,67.68163403,71.19625579,8.55579021,8.087228916,0.954545455,0.941176471,,,,,,,,,,,,,,
51,,,70.2235447,70.15735632,7.706936937,8.276724138,0.947368421,1,,,,,,,,,,,,,,
52,,,58.71409091,66.66104985,11.43867827,8.702281659,0.615384615,1,,,,,,,,,,,,,,
53,,,74.35794118,67.66057143,5.518300654,6.604428571,0.888888889,1,,,,,,,,,,,,,,